task,correct,enc_freq,enc_onset
DM,1,1,2521.79439207258
DM,0,3,2531.07129746292
WM,1,4,2540.34821809033
WM,1,2,2549.44820162583
WM,1,3,2558.49437184517
WM,1,1,2567.417422971
DM,1,1,2576.36358814517
WM,1,1,2585.40203561775
WM,1,3,2594.23278747258
DM,0,3,2602.44048125325
DM,0,4,2610.60203867258
DM,0,3,2619.0481678355
DM,0,3,2627.00200601775
DM,0,3,2635.117373271
WM,1,4,2643.17883837258
DM,0,2,2651.5942884355
WM,1,2,2659.69428652583
WM,1,1,2668.10966562583
WM,1,4,2676.3173540355
DM,0,1,2684.50965820808
WM,1,1,2692.76349236292
DM,0,2,2700.98657216292
WM,1,1,2709.14812817258
WM,1,1,2717.60963914517
WM,1,4,2725.87117517258
DM,0,3,2734.10961938067
DM,0,4,2742.186534671
DM,0,4,2750.363444171
DM,0,4,2758.49422330808
WM,1,4,2766.60178197258
DM,0,1,2774.86345299033
DM,0,1,2783.24035571775
DM,0,1,2791.11725947258
WM,1,4,2799.08649961775
WM,1,3,2807.32495057258
DM,1,2,2815.45572080808
WM,1,3,2823.59417175325
WM,1,3,2831.64801928067
WM,1,1,2839.678772271
DM,0,4,2847.72494024517
WM,1,4,2855.78645699842
WM,1,3,2863.90184315325
WM,1,3,2872.18645104517
DM,0,4,2880.21721779033
WM,1,3,2889.11722757258
DM,0,4,2897.45565879033
WM,1,2,2906.1710382355
DM,0,4,2914.21718959842
WM,1,2,2922.14795745325
WM,1,3,2930.14025959033
DM,0,4,2938.39407937258
WM,1,4,2946.49409265325
WM,1,4,2954.57099929842
WM,1,3,2962.6556186355
WM,1,1,2970.68637689842
DM,0,3,2978.74792139033
DM,1,4,2987.07098366292
WM,1,4,2995.26328941775
WM,1,2,3003.20174826292
WM,1,2,3011.370962871
DM,0,4,3019.38635597258
DM,0,4,3028.79403196292
WM,1,2,3036.94019114517
WM,1,3,3045.01710577258
WM,1,1,3609.43977885325
DM,1,2,3617.69362802583
WM,1,4,3625.65515418067
WM,1,4,3633.67823228067
DM,1,2,3642.43208169033
WM,1,4,3650.41656197258
WM,1,4,3658.28589962583
WM,1,2,3666.28589430808
WM,0,4,3674.30128139842
WM,0,4,3682.43203532583
WM,1,4,3690.55510462583
DM,0,1,3699.20128484517
WM,1,1,3707.24741476292
DM,0,4,3716.52433144517
DM,0,3,3724.34739447258
WM,1,3,3732.34739121775
WM,1,3,3740.30124414517
WM,1,3,3748.36279181775
WM,1,2,3756.50891132583
DM,0,2,3764.71660229033
WM,1,3,3772.81659038067
WM,1,1,3781.30890837258
WM,1,4,3789.631966271
WM,1,3,3797.55504121775
WM,1,4,3805.47810279842
WM,1,1,3813.40887138067
DM,1,2,3821.43964082583
WM,1,1,3829.29347415325
WM,1,3,3837.27809428067
WM,1,1,3845.56269951775
WM,1,3,3853.50887267258
DM,0,3,3861.51653199033
DM,0,2,3869.516522871
WM,1,3,3877.56267989033
WM,1,1,3885.43959470808
WM,1,2,3893.46266695325
DM,0,1,3901.69343084517
WM,1,3,3909.53959437258
WM,1,3,3917.67803231775
WM,1,1,3926.67033278067
WM,1,2,3935.67800747258
WM,1,3,3943.90109577258
DM,0,2,3952.38569087258
WM,1,4,3960.46263244517
DM,1,4,3968.50878731775
DM,1,2,3976.43952117258
WM,1,2,3984.33184099033
WM,1,1,3992.30875450808
WM,1,2,4000.25489636292
DM,0,1,4008.13181622583
DM,0,1,4016.12411425325
WM,1,4,4024.17026919033
WM,1,4,4032.13949908067
WM,1,2,4040.06255307258
WM,1,3,4047.89332988067
WM,1,4,4056.23946902583
DM,0,3,4064.33177448067
WM,1,3,4072.36254328067
WM,1,3,4080.34714262583
WM,1,1,4088.25484484517
WM,1,3,4096.23176791775
WM,1,3,4104.28560398067
WM,1,2,4112.2240618355
WM,1,2,4120.30097362583
DM,1,3,4677.51596675325
WM,1,1,4685.63136970808
WM,1,3,4693.69288358067
DM,1,1,4701.67748619842
WM,1,2,4709.77749215325
DM,1,1,4717.66209198067
WM,1,2,4725.56979627258
WM,1,4,4733.82362321775
WM,1,2,4741.86965007258
DM,0,3,4749.76207595325
WM,1,2,4758.6543791355
WM,1,1,4766.50052341775
DM,0,2,4774.623589871
WM,1,4,4782.59281275325
WM,1,4,4790.59283271775
DM,0,2,4798.54665729842
WM,1,2,4806.52357964517
WM,1,1,4815.00819777258
WM,1,1,4823.11583447258
DM,0,3,4831.10820167258
DM,0,2,4839.0697111355
WM,1,4,4847.08508480808
WM,1,1,4854.94661385325
WM,1,4,4862.89277531775
DM,1,2,4870.83893834517
DM,0,4,4878.8312206355
WM,1,2,4886.66189017258
WM,1,1,4895.77736111775
WM,1,2,4903.62351117258
WM,1,2,4912.28503307258
DM,1,2,4920.47733590808
WM,1,4,4928.49272764517
WM,1,1,4936.57732349842
DM,0,1,4945.7080897355
WM,1,3,4954.492691171
WM,1,3,4962.43118399033
DM,0,3,4970.28500561775
DM,0,1,4978.30037610808
WM,1,2,4986.31575309842
WM,1,3,4994.35420925325
WM,1,1,5002.19267195325
WM,1,2,5010.04650137258
WM,1,2,5017.98496042583
WM,1,2,5025.88495772583
WM,1,1,5033.85417597258
WM,1,4,5042.00032598067
WM,1,4,5050.03108537258
WM,1,1,5057.93878149842
DM,0,1,5065.81570907258
DM,1,3,5073.78492459842
WM,1,1,5081.64645644358
WM,1,2,5090.17723134517
WM,1,1,5098.16182519842
WM,1,2,5106.3002895355
WM,1,4,5114.32335482583
DM,0,4,5123.50028529033
DM,0,1,5131.41565621775
DM,1,2,5139.4694986355
WM,0,1,5147.47718206292
WM,1,2,5156.73872136292
WM,1,3,5164.67716642583
WM,1,2,5172.80023719842
WM,1,1,5180.75408862583
DM,0,3,5188.68483929842
